Description;Channel;SecondDescription;"Start time";"AMR";"AMR_perc";"RCH";"RCH_perc";"SHR_perc"
"28 DNI POZNIEJ /FILM HOR.W.BRYT.USA/";"Canal+ 1 [Canal+ Family 2]";" ";"02:00:00";0;0,000 %;0;0,000 %;0,000 %
"28 DNI POZNIEJ /FILM HOR.W.BRYT.USA/";"Canal+";" ";"02:00:00";17 641;0,049 %;18 201;0,051 %;0,931 %
"48 GODZIN /PROG.DOK.USA/";"CBS Reality [Zone Reality]";"48 HOURS: MYSTERY";"02:00:00";0;0,000 %;0;0,000 %;0,000 %
"AGENCI NCIS /SER.SENS.USA/";"AXN";"NCIS 619 - HIDE AND SEEK";"02:00:00";34 561;0,097 %;34 561;0,097 %;1,697 %
"CHOP SOCKY CHOOKS: KUNG FU KURCZAKI /SER.ANIM.ANG./";"Cartoon Network";" ";"02:00:00";0;0,000 %;0;0,000 %;0,000 %
"CSI - KRYMINALNE ZAGADKI LAS VEGAS /SER.SENS.USA/";"13 Ulica [13th Street Universal]";"CRIME SCENE INVESTIGATION";"02:00:00";37 029;0,104 %;42 803;0,120 %;1,715 %
"DISCO PARTY /MUZYKA DYSKOT./";"4FUN FIT&DANCE [TV.DISCO]";" ";"02:00:00";0;0,000 %;0;0,000 %;0,000 %
"DOMOWKA 4FUN /PROG.MUZ.POL./";"4FUN.TV [4fun.tv]";" ";"02:00:00";0;0,000 %;0;0,000 %;0,000 %
"DRIVE HARD /FILM SENS.KAN.AUSTRAL.USA/";"Canal+ Family [Canal+ Weekend]";" ";"02:00:00";8 880;0,025 %;8 880;0,025 %;0,408 %
"EUROPEAN TOUR /GOLF/";"Canal+ Sport2";"TURKISH AIRLINES OPEN";"02:00:00";0;0,000 %;0;0,000 %;0,000 %
"GRAND HOTEL /SER.KRYM.HISZP./";"AXN White [AXN Crime]";"GRAND HOTEL 207 - EL BAUTIZO";"02:00:00";73;0,000 %;4 304;0,012 %;0,004 %
"GRANDPA IN MY POCKET";"BBC CBeebies";" ";"02:00:00";0;0,000 %;0;0,000 %;0,000 %
"JOURNEY TO FIRE MOUNTAIN";"BBC Earth [BBC Knowledge]";" ";"02:00:00";0;0,000 %;0;0,000 %;0,000 %
"LOWCY GLOW /SER.DOK./";"AXN Black [AXN Sci-Fi]";"DOG & BETH: ON THE HUNT 107 - NORWALK THIS WAY";"02:00:00";0;0,000 %;0;0,000 %;0,000 %
"MALE STLUCZKI /FILM OBYCZ.POL./";"Canal+ Film [Canal+ Zolty]";" ";"02:00:00";0;0,000 %;0;0,000 %;0,000 %
"NBA /MECZ KOSZYKOWKI/";"Canal+ Sport [Canal+ Niebieski]";"NEW ORLEANS PELICANS - GOLDEN STATE WARRIORS";"02:00:00";5 005;0,014 %;5 005;0,014 %;0,295 %
"NEW TRICKS";"BBC HD";" ";"02:00:00";126;0,000 %;6 211;0,017 %;0,007 %
"NIE DO ZAPOMNIENIA /FILM DOK.USA/";"Canal+ Discovery";" ";"02:00:00";4 019;0,011 %;4 019;0,011 %;0,205 %
"OBYWATEL /FILM KOM.DRAM.POL./";"Canal+ Seriale [Canal+ Film 2]";" ";"02:00:00";1 356;0,004 %;14 887;0,042 %;0,080 %
"ODKRYWCY PRZYGODY STULECIA /SER.DOK.USA/";"ADVENTURE";" ";"02:00:00";0;0,000 %;0;0,000 %;0,000 %
"PARTY HITS 2000 /TELEDYSKI/";"4FUN HITS [mjuzik.tv]";" ";"02:00:00";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"Animal Planet HD";" ";"02:00:00";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"BBC Brit [BBC Entertainment]";" ";"02:00:00";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"CBS Action [Zone Romantica]";" ";"02:00:00";4 305;0,012 %;4 305;0,012 %;0,193 %
