Description;Channel;SecondDescription;"Start time";"AMR";"AMR_perc";"RCH";"RCH_perc";"SHR_perc";GroupID
"28 DNI POZNIEJ /FILM HOR.W.BRYT.USA/";"Canal+ 1 [Canal+ Family 2]";" ";"02:00:00";0;0,000 %;0;0,000 %;0,000 %;1
"28 DNI POZNIEJ /FILM HOR.W.BRYT.USA/";"Canal+";" ";"02:00:00";17 641;0,370 %;18 201;0,382 %;5,608 %;1
"48 GODZIN /PROG.DOK.USA/";"CBS Reality [Zone Reality]";"48 HOURS: MYSTERY";"02:00:00";0;0,000 %;0;0,000 %;0,000 %;1
"AGENCI NCIS /SER.SENS.USA/";"AXN";"NCIS 619 - HIDE AND SEEK";"02:00:00";14 627;0,307 %;14 627;0,307 %;4,198 %;1
"CHOP SOCKY CHOOKS: KUNG FU KURCZAKI /SER.ANIM.ANG./";"Cartoon Network";" ";"02:00:00";0;0,000 %;0;0,000 %;0,000 %;1
"CSI - KRYMINALNE ZAGADKI LAS VEGAS /SER.SENS.USA/";"13 Ulica [13th Street Universal]";"CRIME SCENE INVESTIGATION";"02:00:00";1 251;0,026 %;5 701;0,120 %;0,319 %;1
"DISCO PARTY /MUZYKA DYSKOT./";"4FUN FIT&DANCE [TV.DISCO]";" ";"02:00:00";0;0,000 %;0;0,000 %;0,000 %;1
"DOMOWKA 4FUN /PROG.MUZ.POL./";"4FUN.TV [4fun.tv]";" ";"02:00:00";0;0,000 %;0;0,000 %;0,000 %;1
"DRIVE HARD /FILM SENS.KAN.AUSTRAL.USA/";"Canal+ Family [Canal+ Weekend]";" ";"02:00:00";8 880;0,186 %;8 880;0,186 %;2,242 %;1
"EUROPEAN TOUR /GOLF/";"Canal+ Sport2";"TURKISH AIRLINES OPEN";"02:00:00";0;0,000 %;0;0,000 %;0,000 %;1
"GRAND HOTEL /SER.KRYM.HISZP./";"AXN White [AXN Crime]";"GRAND HOTEL 207 - EL BAUTIZO";"02:00:00";0;0,000 %;0;0,000 %;0,000 %;1
"GRANDPA IN MY POCKET";"BBC CBeebies";" ";"02:00:00";0;0,000 %;0;0,000 %;0,000 %;1
"JOURNEY TO FIRE MOUNTAIN";"BBC Earth [BBC Knowledge]";" ";"02:00:00";0;0,000 %;0;0,000 %;0,000 %;1
"LOWCY GLOW /SER.DOK./";"AXN Black [AXN Sci-Fi]";"DOG & BETH: ON THE HUNT 107 - NORWALK THIS WAY";"02:00:00";0;0,000 %;0;0,000 %;0,000 %;1
